task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
81	af/bc23f2	65682701	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (COLO829-ONT-TO)	CACHED	0	2026-01-08 20:22:50.854	9m 55s	9m 5s	430.4%	191.3 MB	551.2 MB	174 GB	707 B	2
96	52/df7d8b	65683188	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (COLO829-ONT)	CACHED	0	2026-01-08 21:37:39.979	20m 1s	19m	129.9%	8.8 MB	208.4 MB	216.6 GB	5.4 KB	1
93	e1/9be6ba	65683168	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (COLO829-ONT)	CACHED	0	2026-01-08 21:37:09.937	30.7s	1s	17.7%	40.2 MB	47 MB	45.1 MB	94.2 KB	1
97	55/f7444f	65683189	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (COLO829-ONT)	CACHED	0	2026-01-08 21:37:49.939	56m 51s	56m 3s	135.2%	4.5 GB	5 GB	216.6 GB	234.5 MB	6
41	38/6b1488	65681823	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (HG008-PB)	CACHED	0	2026-01-08 17:51:49.530	3h 7m 6s	1h 32m 38s	1767.4%	41.7 GB	47.2 GB	913.5 GB	908.5 GB	24
40	f5/beff02	65681824	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (HG008-ONT-TO)	CACHED	0	2026-01-08 17:51:59.526	5h 54m 21s	2h 19m 54s	1685.9%	44.6 GB	50 GB	1.2 TB	1.2 TB	24
61	aa/b7cc4b	65681847	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (COLO829-PB)	CACHED	0	2026-01-08 17:55:19.523	5m 26s	4m 33s	331.6%	131.6 MB	484.1 MB	62.5 GB	681 B	2
92	34/f08128	65683165	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (COLO829-ONT)	CACHED	0	2026-01-08 21:37:01.405	10m 4s	9m 31s	393.2%	236.4 MB	743.3 MB	216.6 GB	699 B	2
55	a1/6d8d9f	65681841	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (HG008-ONT)	CACHED	0	2026-01-08 17:54:19.508	3m 56s	2m 58s	304.3%	56.3 MB	428.1 MB	43.1 GB	713 B	2
120	8c/3a750e	65683938	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HG008-ONT-TO)	CACHED	0	2026-01-08 23:46:40.084	14m 36s	13m 52s	110.1%	11.1 MB	208.4 MB	159.9 GB	5.4 KB	1
