task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
169	19/0f3d4d	65684404	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_HAPLOTAG (HG008-ONT-TO)	CACHED	0	2026-01-09 03:28:30.632	1h 10m 16s	1h 9m 27s	430.9%	6.4 GB	8.4 GB	148.7 GB	151.9 GB	6
159	3a/cbbf79	65684392	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (CCS15-ONT-TO)	CACHED	0	2026-01-09 03:20:26.689	2h 57m 15s	1h 10m 12s	1655.9%	48.9 GB	55 GB	844.8 GB	871.6 GB	24
180	01/847fdc	65684447	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:SAMTOOLS_INDEX (COLO829-ONT-TO)	CACHED	0	2026-01-09 04:17:17.247	7m 49s	6m 44s	223.0%	75.3 MB	283.6 MB	163.9 GB	35.7 MB	2
165	7f/f5cfb8	65684400	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:VCFSPLIT (COLO829-PB-TO)	CACHED	0	2026-01-09 03:27:01.725	59.6s	46s	131.7%	55.1 MB	227.6 MB	2.3 GB	2 GB	1
167	63/f29002	65684401	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_PHASE (COLO829-PB-TO)	CACHED	0	2026-01-09 03:28:01.739	3m 25s	3m 7s	667.4%	21.5 GB	28.1 GB	60.8 GB	684.1 MB	6
150	92/2eb5be	65684362	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:VCFSPLIT (HG008-PB-TO)	CACHED	0	2026-01-09 03:00:41.800	1m 15s	43s	133.5%	53.4 MB	226.1 MB	2.2 GB	1.8 GB	1
155	bf/bc97c1	65684370	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_PHASE (HG008-PB-TO)	CACHED	0	2026-01-09 03:01:56.653	3m 45s	3m 19s	631.7%	16.4 GB	21.4 GB	59.2 GB	643.8 MB	6
215	2d/f1254d	65684793	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CCS15-ONT-TO)	CACHED	0	2026-01-09 06:18:21.007	20.7s	1s	10.5%	6.2 MB	10.5 MB	38.8 MB	93.9 KB	1
189	96/62da6c	65684457	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:SAMTOOLS_INDEX (HG008-ONT-TO)	CACHED	0	2026-01-09 04:38:46.964	6m 55s	6m 9s	224.7%	84.8 MB	292.6 MB	151.9 GB	38.9 MB	2
145	2f/562d25	65685186	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CCS15-ONT-TO)	CACHED	0	2026-01-09 09:46:13.712	8m 38s	7m 47s	112.5%	11.8 MB	208.4 MB	100.3 GB	5.4 KB	1
170	41/21bc13	65684407	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_HAPLOTAG (COLO829-PB-TO)	CACHED	0	2026-01-09 03:31:26.621	45m 5s	44m 14s	423.3%	6.7 GB	8.5 GB	59.5 GB	60.2 GB	6
212	0b/4e3ae3	65684792	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (CCS15-ONT-TO)	CACHED	0	2026-01-09 06:18:11.030	2m 36s	2m 5s	474.8%	1.9 GB	2.4 GB	101.3 GB	2.8 MB	6
211	e1/fb272a	65684789	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (CCS15-ONT-TO)	CACHED	0	2026-01-09 06:17:42.378	5m 34s	4m 31s	436.8%	204.4 MB	553.2 MB	100.3 GB	696 B	2
158	9d/2eef19	65685187	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CCS15-ONT-TO)	CACHED	0	2026-01-09 09:46:23.427	21m 14s	20m 32s	141.5%	7.3 GB	7.8 GB	100.3 GB	383.9 MB	6
179	86/1d91b6	65684445	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:SAMTOOLS_INDEX (COLO829-PB-TO)	CACHED	0	2026-01-09 04:16:31.832	3m 30s	2m 31s	230.7%	62.7 MB	270.6 MB	60.2 GB	25.4 MB	2
157	08/1c555e	65684376	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_HAPLOTAG (HG008-PB-TO)	CACHED	0	2026-01-09 03:05:41.655	45m 50s	45m 13s	454.8%	6.5 GB	8.3 GB	58.3 GB	59.4 GB	6
171	a8/18f6eb	65684434	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:SAMTOOLS_INDEX (HG008-PB-TO)	CACHED	0	2026-01-09 03:51:31.688	3m 10s	2m 21s	231.6%	42.1 MB	249 MB	59.4 GB	11.8 MB	2
34	72/c532a5	65687316	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_PREDICTM6A (CCS15-PB)	COMPLETED	0	2026-01-09 15:48:01.372	7h 51m 40s	6h 59m 27s	2206.9%	3.2 GB	6.9 GB	319.4 GB	56.2 GB	24
36	23/d126d2	65687317	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_PREDICTM6A (CCS15-PB)	COMPLETED	0	2026-01-09 15:48:11.294	7h 42m 50s	6h 47m 31s	2168.3%	3.5 GB	7.1 GB	304.1 GB	54.2 GB	24
59	1d/e8528b	65687318	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIR3 (HG008-ONT)	COMPLETED	0	2026-01-09 15:48:21.415	7h 1m 20s	7h 48s	1722.6%	55.8 GB	111.5 GB	2.8 TB	746.8 GB	24
87	73/0b4c04	65687319	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIR3 (COLO829-ONT)	COMPLETED	0	2026-01-09 15:48:31.212	1h 6m 49s	1h 1m 32s	1547.0%	48.5 GB	107 GB	1.2 TB	34.4 GB	24
112	71/c32de2	65687320	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (COLO829-PB)	COMPLETED	0	2026-01-09 15:48:41.181	2h 49m 49s	1h 55m 16s	1656.0%	42 GB	47 GB	1023.7 GB	1 TB	24
123	ab/734af8	65687321	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIR3 (HG008-PB)	COMPLETED	0	2026-01-09 15:48:51.374	1h 32m 59s	36m 28s	1534.3%	38 GB	82.4 GB	414.4 GB	25.4 GB	24
152	0e/03d4e1	65687322	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIR3 (CCS15-ONT)	COMPLETED	0	2026-01-09 15:49:01.392	2h 27m 29s	1h 28m 55s	1654.8%	49.5 GB	97.2 GB	1.3 TB	99.3 GB	24
172	c6/a60fac	65687330	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (COLO829-ONT-TO)	COMPLETED	0	2026-01-09 15:49:11.307	15m 14s	14m 37s	218.6%	4.5 GB	15.3 GB	157.7 GB	306.5 MB	6
181	c0/34ed37	65687335	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (HG008-ONT-TO)	COMPLETED	0	2026-01-09 15:49:21.170	14m 54s	14m 27s	210.1%	5 GB	15.8 GB	147.6 GB	302.3 MB	6
184	de/1bdc9d	65687339	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (COLO829-PB-TO)	COMPLETED	0	2026-01-09 15:49:31.205	11m 14s	10m	209.3%	4.4 GB	15 GB	59.1 GB	306.1 MB	6
186	0c/09a7f5	65687349	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (HG008-PB-TO)	COMPLETED	0	2026-01-09 15:49:41.182	8m 19s	7m 15s	274.7%	4 GB	14.5 GB	58.2 GB	300.8 MB	6
151	f7/4f2b11	65684365	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SOMATIC_VEP (COLO829-ONT-TO)	CACHED	0	2026-01-09 03:01:20.629	2h 5m 16s	5m 5s	1603.1%	3.6 GB	3.8 GB	210.1 GB	113.7 MB	24
159	d0/e76b70	65687367	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (COLO829-ONT-TO)	COMPLETED	0	2026-01-09 15:54:58.051	4h 51m 13s	3h 55m 49s	2128.4%	3.6 GB	3.8 GB	12.8 TB	11.9 GB	24
162	37/952259	65684398	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SOMATIC_VEP (HG008-ONT-TO)	CACHED	0	2026-01-09 03:23:20.675	2h 32m 1s	3m 45s	995.9%	3.5 GB	3.7 GB	102.1 GB	61.8 MB	24
166	9a/e15b82	65684402	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SOMATIC_VEP (COLO829-PB-TO)	CACHED	0	2026-01-09 03:28:10.670	2h 31m 11s	3m 49s	1472.0%	3.1 GB	3.4 GB	147.2 GB	80.5 MB	24
154	e1/9b91ff	65684371	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SOMATIC_VEP (HG008-PB-TO)	CACHED	0	2026-01-09 03:02:05.629	2h 3m 16s	3m 50s	999.0%	3.5 GB	3.7 GB	103.1 GB	62.8 MB	24
169	d5/f7531a	65687368	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:CLAIRSTO (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 15:55:06.912	2h 40m 23s	1h 39m 4s	1585.4%	126 GB	127.5 GB	2.1 TB	579 GB	24
157	30/156996	65687369	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (HG008-ONT-TO)	COMPLETED	0	2026-01-09 15:55:16.703	5h 17m 4s	3h 43m 40s	2124.9%	3.5 GB	3.8 GB	12.2 TB	11.3 GB	24
180	a7/e6c149	65687370	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (HG008-ONT-TO)	COMPLETED	0	2026-01-09 15:55:26.705	33m 43s	33m 25s	250.7%	14.6 GB	25.1 GB	522.5 GB	1.6 GB	6
176	91/c9f4b6	65687371	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (COLO829-PB-TO)	COMPLETED	0	2026-01-09 15:55:36.682	5h 30m 49s	3h 57m 28s	2125.3%	3.6 GB	3.8 GB	12.8 TB	12 GB	24
173	b1/eb803c	65687375	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (COLO829-ONT-TO)	COMPLETED	0	2026-01-09 15:55:46.706	34m 13s	33m 12s	240.9%	15.9 GB	26.5 GB	528.6 GB	1.6 GB	6
187	dd/9620be	65687376	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (HG008-PB-TO)	COMPLETED	0	2026-01-09 15:55:56.759	5h 19m 19s	3h 45m 12s	2126.6%	3.5 GB	3.8 GB	12.3 TB	11.3 GB	24
183	27/d4b1ee	65687379	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (COLO829-PB-TO)	COMPLETED	0	2026-01-09 15:56:06.711	21m 28s	20m 47s	223.7%	11.6 GB	22.2 GB	264.9 GB	1.2 GB	6
189	d1/fa4a21	65687380	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (HG008-PB-TO)	COMPLETED	0	2026-01-09 15:56:16.700	19m 38s	19m 8s	219.9%	10.5 GB	21 GB	186.3 GB	1.1 GB	6
190	57/9d01ee	65687675	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (HG008-PB-TO)	COMPLETED	0	2026-01-09 16:15:56.056	1h 23m 14s	54s	410.6%	1.6 GB	1.7 GB	11.6 GB	102.6 MB	24
191	9c/fad5f7	65687712	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (COLO829-PB-TO)	COMPLETED	0	2026-01-09 16:17:35.976	1h 24m 34s	45s	456.8%	2.4 GB	2.6 GB	11.6 GB	80.9 MB	24
192	f4/65b44f	65687772	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (HG008-ONT-TO)	COMPLETED	0	2026-01-09 16:29:11.729	1h 13m 23s	1m	412.8%	2.4 GB	2.5 GB	12.5 GB	138.9 MB	24
193	66/3a6865	65687777	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (COLO829-ONT-TO)	COMPLETED	0	2026-01-09 16:30:01.819	1h 13m 8s	51s	450.8%	2.6 GB	2.8 GB	12.6 GB	113.8 MB	24
195	e3/779f87	65687915	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_PHASE (COLO829-ONT)	COMPLETED	0	2026-01-09 16:55:20.799	8m 59s	8m	751.4%	28.1 GB	40.5 GB	199.8 GB	493.1 MB	6
194	dc/40c5d3	65687919	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (COLO829-ONT)	COMPLETED	0	2026-01-09 16:55:29.671	6h 29m 22s	5h 42m 5s	2129.9%	3.7 GB	4 GB	17.8 TB	15.8 GB	24
197	a0/8c0d1e	65687945	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (COLO829-ONT)	COMPLETED	0	2026-01-09 17:04:20.683	2h 5m 25s	2h 4m 13s	366.7%	7 GB	8.9 GB	220.2 GB	225.5 GB	6
196	74/fb20e9	65687946	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (COLO829-ONT)	COMPLETED	0	2026-01-09 17:04:29.645	1h 42m 41s	1h 41m 37s	368.4%	7 GB	8.9 GB	177.6 GB	181.4 GB	6
198	11/8c671c	65687975	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_PHASE (HG008-PB)	COMPLETED	0	2026-01-09 17:21:50.673	4m 24s	3m 35s	613.6%	22.6 GB	27.9 GB	50.1 GB	487.6 MB	6
199	a0/360ecb	65687976	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (HG008-PB)	COMPLETED	0	2026-01-09 17:21:59.457	5h 57m 27s	5h 36m 39s	2136.6%	3.7 GB	4 GB	17.9 TB	16.1 GB	24
201	b4/e055cb	65687982	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (HG008-PB)	COMPLETED	0	2026-01-09 17:26:15.533	46m 35s	46m 9s	365.0%	7.1 GB	8.9 GB	52.1 GB	52.2 GB	6
200	54/b58ea9	65687983	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (HG008-PB)	COMPLETED	0	2026-01-09 17:26:24.415	55m 6s	54m 49s	378.4%	7.1 GB	8.9 GB	61.3 GB	62.2 GB	6
202	4e/e64915	65688558	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (HG008-PB)	COMPLETED	0	2026-01-09 18:12:50.573	2m 30s	2m 13s	225.9%	46.3 MB	253.8 MB	52.2 GB	12.8 MB	2
204	05/c628f5	65688765	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_PHASE (CCS15-ONT)	COMPLETED	0	2026-01-09 18:16:30.915	4m 49s	4m 33s	714.9%	20.4 GB	27.3 GB	131.1 GB	498.7 MB	6
203	95/46e736	65688866	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (CCS15-ONT)	COMPLETED	0	2026-01-09 18:16:39.775	5h 56m 37s	5h 56m 21s	2106.6%	3.7 GB	3.9 GB	18.3 TB	16.3 GB	24
206	f7/7fadd6	65688974	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (CCS15-ONT)	COMPLETED	0	2026-01-09 18:21:21.405	1h 10m 24s	1h 10m 13s	367.3%	7.1 GB	8.9 GB	139.4 GB	141.4 GB	6
205	2d/541528	65688975	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (CCS15-ONT)	COMPLETED	0	2026-01-09 18:21:29.567	52m 51s	52m 37s	359.7%	7 GB	8.9 GB	103.9 GB	104.1 GB	6
207	fa/2eccb3	65688976	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (HG008-PB)	COMPLETED	0	2026-01-09 18:21:39.949	2m 50s	2m 32s	227.5%	43.4 MB	250.4 MB	62.2 GB	12.3 MB	2
209	42/fd5d8a	65688979	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (HG008-PB)	COMPLETED	0	2026-01-09 18:24:31.036	10m 24s	9m 56s	343.4%	4.2 GB	14.7 GB	106.9 GB	539.8 MB	6
210	3b/c5a144	65688980	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (HG008-PB)	COMPLETED	0	2026-01-09 18:24:40.028	34m 5s	33m 47s	239.5%	19.6 GB	30.2 GB	371.5 GB	2.5 GB	6
208	65/286cef	65688981	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIRS (HG008-PB)	COMPLETED	0	2026-01-09 18:24:50.187	1h 58m 31s	1h 58m 13s	2423.4%	13.9 GB	25.2 GB	1.4 TB	620.3 GB	24
211	d3/709e22	65689294	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:VCFSPLIT (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 18:35:30.648	1m 15s	46s	132.8%	53.2 MB	225.8 MB	2.2 GB	1.9 GB	1
214	e1/dca766	65689296	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_PHASE (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 18:36:45.617	3m 50s	3m 27s	725.4%	13.1 GB	19.8 GB	97.6 GB	665.5 MB	6
212	5a/e085f3	65689297	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SOMATIC_VEP (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 18:36:54.583	5m 1s	4m 49s	1516.6%	3.3 GB	3.6 GB	189.5 GB	136.2 MB	24
213	64/0d381f	65689298	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 18:37:04.599	4h 4m 57s	4h 4m 40s	2083.2%	3.5 GB	3.8 GB	12.7 TB	11.8 GB	24
215	d5/87f76e	65689301	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (COLO829-PB)	COMPLETED	0	2026-01-09 18:38:30.692	4m 55s	4m 24s	378.4%	244.3 MB	741.2 MB	62.5 GB	689 B	2
216	be/80c350	65689302	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (COLO829-PB)	COMPLETED	0	2026-01-09 18:38:39.611	2m 36s	2m 4s	399.7%	1.9 GB	2.4 GB	63.1 GB	3.9 MB	6
217	7f/d4b0b9	65689303	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIR3 (COLO829-PB)	COMPLETED	0	2026-01-09 18:38:49.566	42m 1s	40m 46s	1491.0%	46.1 GB	91.3 GB	692 GB	23.6 GB	24
219	23/2f21cd	65689304	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (COLO829-PB)	COMPLETED	0	2026-01-09 18:38:59.571	41m 11s	40m 3s	163.4%	231.7 MB	706 MB	62.5 GB	13 MB	6
218	69/1cf2f9	65689305	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (COLO829-PB)	COMPLETED	0	2026-01-09 18:39:09.575	6m 56s	6m 4s	115.7%	7.6 MB	208.4 MB	62.5 GB	5.4 KB	1
220	50/afa8c8	65689306	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (COLO829-PB)	COMPLETED	0	2026-01-09 18:39:19.590	40.7s	1s	36.7%	11.4 MB	16.2 MB	37.3 MB	94.1 KB	1
221	03/e4a117	65689308	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_HAPLOTAG (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 18:40:35.582	51m 10s	50m 34s	366.3%	6.9 GB	8.7 GB	96.2 GB	96.9 GB	6
222	57/2a6503	65689310	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (COLO829-ONT)	COMPLETED	0	2026-01-09 18:47:10.599	8m 40s	7m 50s	223.2%	78.8 MB	287.1 MB	181.4 GB	37.7 MB	2
223	a8/470d3c	65689320	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (HG008-PB)	COMPLETED	0	2026-01-09 18:58:47.120	1m 13s	57s	459.9%	2.7 GB	2.8 GB	12.8 GB	123.3 MB	24
224	8b/b4b77d	65689329	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (COLO829-ONT)	COMPLETED	0	2026-01-09 19:09:45.705	9m 55s	9m 27s	216.4%	89.3 MB	298.2 MB	225.5 GB	44.7 MB	2
225	11/a280c4	65689337	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (CCS15-ONT)	COMPLETED	0	2026-01-09 19:14:21.333	5m 9s	4m 22s	224.1%	96.5 MB	304.6 MB	104.1 GB	38.4 MB	2
228	32/8abb25	65689339	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (COLO829-ONT)	COMPLETED	0	2026-01-09 19:19:41.422	18m 19s	17m 50s	376.1%	5.2 GB	16.1 GB	350.7 GB	546.2 MB	6
227	df/cf7004	65689340	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIRS (COLO829-ONT)	COMPLETED	0	2026-01-09 19:19:49.944	1h 36m 16s	1h 35m 53s	1997.3%	12.6 GB	23.7 GB	4 TB	433.6 GB	24
226	ce/eda984	65689341	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (COLO829-ONT)	COMPLETED	0	2026-01-09 19:19:59.966	1h 14m 6s	1h 13m 2s	263.0%	34.7 GB	45.5 GB	1.2 TB	4.2 GB	6
229	23/b2c644	65689342	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_PHASE (COLO829-PB)	COMPLETED	0	2026-01-09 19:20:51.193	4m 14s	3m 52s	715.8%	26.6 GB	33.2 GB	62.2 GB	486.4 MB	6
230	de/640d2a	65689343	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:GERMLINE_VEP (COLO829-PB)	COMPLETED	0	2026-01-09 19:20:59.926	5h 32m 47s	5h 31m 37s	2131.8%	3.7 GB	4 GB	17.8 TB	16 GB	24
231	29/b2f073	65689344	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (COLO829-PB)	COMPLETED	0	2026-01-09 19:25:05.908	57m 5s	55m 58s	373.7%	7 GB	8.9 GB	65.9 GB	66.5 GB	6
232	75/a87a41	65689345	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:LONGPHASE_HAPLOTAG (COLO829-PB)	COMPLETED	0	2026-01-09 19:25:14.882	54m 31s	53m 32s	383.5%	7 GB	8.9 GB	63.7 GB	64.2 GB	6
233	1f/6bd91a	65689349	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:SAMTOOLS_INDEX (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 19:31:46.004	4m 30s	4m 5s	216.3%	94.1 MB	301.5 MB	96.9 GB	37 MB	2
234	29/4de33d	65689350	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (CCS15-ONT)	COMPLETED	0	2026-01-09 19:31:55.151	6m 1s	5m 42s	215.8%	117.3 MB	325.4 MB	141.4 GB	47.4 MB	2
236	a2/ef67ee	65689354	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 19:36:16.687	7m 39s	6m 40s	259.3%	4.5 GB	15.2 GB	94.3 GB	307.4 MB	6
235	21/938a45	65689355	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 19:36:25.493	22m 50s	22m 4s	244.9%	15.5 GB	26 GB	402.8 GB	1.4 GB	6
237	61/242dca	65689356	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:CLAIRS (CCS15-ONT)	COMPLETED	0	2026-01-09 19:37:56.714	1h 2m 39s	1h 2m 20s	2078.0%	12.8 GB	24.2 GB	1.7 TB	221.5 GB	24
239	fc/75d201	65689357	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:ASCAT (CCS15-ONT)	COMPLETED	0	2026-01-09 19:38:05.270	11m 46s	10m 32s	345.1%	4.6 GB	18.9 GB	222 GB	542.9 MB	6
238	c8/3bfa72	65689358	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SEVERUS (CCS15-ONT)	COMPLETED	0	2026-01-09 19:38:15.217	41m 1s	39m 55s	268.7%	31.8 GB	46.2 GB	976.7 GB	3.3 GB	6
240	1b/cc3662	65689372	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (CCS15-ONT-TO)	COMPLETED	0	2026-01-09 19:59:17.301	1m 59s	57s	453.8%	2.1 GB	2.3 GB	12.8 GB	134.2 MB	24
241	c1/37166d	65689406	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:SV_VEP (CCS15-ONT)	COMPLETED	0	2026-01-09 20:19:18.441	1m 53s	56s	499.1%	3.2 GB	3.4 GB	14.5 GB	153.1 MB	24
242	18/74161d	65689408	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_NORMAL_HAPPHASE:SAMTOOLS_INDEX (COLO829-PB)	COMPLETED	0	2026-01-09 20:19:46.220	4m 25s	3m 49s	163.4%	66.3 MB	274.9 MB	64.2 GB	26.5 MB	2
