Caller	True Positives	False Negatives	False Positives	Precision	Recall	F1 Score	Caller Records	Ensemble Records
A_Severus_v1.6	120	14	117	0.5063291139240507	0.8955223880597015	0.646900269541779	237	134
B_Severus_v1.6	116	18	431	0.21206581352833637	0.8656716417910447	0.3406754772393539	547	134
C_Severus_v1.6	123	11	30	0.803921568627451	0.917910447761194	0.8571428571428571	153	134
D_Severus_v1.6	112	22	164	0.4057971014492754	0.835820895522388	0.5463414634146342	276	134
E_Unknown source	134	0	0	1.0	1.0	1.0	134	134
