Caller	True Positives	False Negatives	False Positives	Precision	Recall	F1 Score	Caller Records	Ensemble Records
A_Severus_v1.2	53	9	19	0.7361111111111112	0.8548387096774194	0.791044776119403	72	62
B_Severus_v1.6	51	11	24	0.68	0.8225806451612904	0.7445255474452556	75	62
C_Severus_v1.6	49	13	368	0.11750599520383694	0.7903225806451613	0.20459290187891438	417	62
D_Severus_v1.6	48	14	25	0.6575342465753424	0.7741935483870968	0.7111111111111111	73	62
E_Severus_v1.6	47	15	221	0.17537313432835822	0.7580645161290323	0.28484848484848485	268	62
F_Unknown source	62	0	0	1.0	1.0	1.0	62	62
